"","Treatment","Type","uptake"
"40","chilled","Quebec",38.9
"7","nonchilled","Quebec",39.7
"39","chilled","Quebec",34
"3","nonchilled","Quebec",34.8
"20","nonchilled","Quebec",43.9
"26","chilled","Quebec",32.5
"19","nonchilled","Quebec",42.9
"2","nonchilled","Quebec",30.4
"25","chilled","Quebec",34.6
"37","chilled","Quebec",21
"16","nonchilled","Quebec",32.4
"23","chilled","Quebec",24.1
"33","chilled","Quebec",38.6
"5","nonchilled","Quebec",35.3
"18","nonchilled","Quebec",42.1
"38","chilled","Quebec",38.1
"31","chilled","Quebec",35
"4","nonchilled","Quebec",37.2
"8","nonchilled","Quebec",13.6
"29","chilled","Quebec",9.3
"22","chilled","Quebec",14.2
"10","nonchilled","Quebec",37.1
"36","chilled","Quebec",15.1
"21","nonchilled","Quebec",45.5
"45","nonchilled","Mississippi",26.2
"58","nonchilled","Mississippi",19.4
"72","chilled","Mississippi",11.4
"68","chilled","Mississippi",19.5
"67","chilled","Mississippi",18.9
"64","chilled","Mississippi",10.5
"69","chilled","Mississippi",22.2
"56","nonchilled","Mississippi",31.5
"79","chilled","Mississippi",18
"66","chilled","Mississippi",18.1
"54","nonchilled","Mississippi",32.4
"48","nonchilled","Mississippi",32.4
"53","nonchilled","Mississippi",31.8
"57","nonchilled","Mississippi",11.3
"75","chilled","Mississippi",12.5
"43","nonchilled","Mississippi",10.6
"74","chilled","Mississippi",13
"76","chilled","Mississippi",13.7
"77","chilled","Mississippi",14.4
"73","chilled","Mississippi",12.3
"70","chilled","Mississippi",21.9
"80","chilled","Mississippi",17.9
"59","nonchilled","Mississippi",25.8
"55","nonchilled","Mississippi",31.1
"78","chilled","Mississippi",10.6
"51","nonchilled","Mississippi",22
"62","nonchilled","Mississippi",28.1
"61","nonchilled","Mississippi",28.5
"44","nonchilled","Mississippi",19.2
"63","nonchilled","Mississippi",27.8
"46","nonchilled","Mississippi",30
"50","nonchilled","Mississippi",12
"49","nonchilled","Mississippi",35.5
"52","nonchilled","Mississippi",30.6
"71","chilled","Mississippi",7.7
"41","chilled","Quebec",39.6
